SKU,Product,Product Abv.,Product Family,Price,Cost,U14 Adders,Ref Price,Spencer Price,Model Cost,Spencer Cost,CM Model,CM Spencer,Delta,ERROR,Unnamed: 15,CM Model.1,Current Batch Hrs,New Cycle Time,Price Net Size,U14INT,U18,TOFA1INT,D60,M35,EDA,H2PO4,HMDA,Polyetheramine,Piperazine,Azelaic Acid,Sebacic Acid,Dimer Acid,Target Cycle Time,Cycle Time to Make 1MT,$CM/Hr,Sales Vol
2001949,"UNI-REZ 2226, Bag 50 LB",U2226B,INK,4140.227775,1440.1930708713041,62.0,3746.8,3764.0,1440.1930708713041,1393.0,2244.606929128696,2309.0,64.39307087130419,0.02788786092304209,,2638.034704128696,30.78,30.78,36.937677,0.0,0.8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8365832805349402,1.8365832805349402,1436.3817487004005,261.3
2000352,"UNI-REZ 2221, Bag 50 LB",U2221,INK,4011.28,1486.154189965051,50.0,4570.545,4116.0,1486.154189965051,1135.0,3034.390810034949,2931.0,-103.39081003494903,0.035274926658119765,,2475.125810034949,29.14,29.14,36.949752000000004,0.0,0.7,0.0,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.7381594333840185,1.7381594333840185,1423.9923924677798,129.4
2001967,"UNI-REZ 2940, Bag 50 LB",U2940,INK,4408.0,1444.0706400914394,61.0,3777.60241254902,3597.0,1444.0706400914394,1008.0,2272.5317724575807,2528.0,255.4682275424193,0.10105546975570384,,2902.9293599085604,35.2,35.2,37.311364000000005,0.0,0.8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0792807253039585,2.0792807253039585,1396.1219014734997,656.9
2000781,"UNI-REZ 106/1, Bag 50 LB",U106,INK,4180.0009700347455,1493.2492217499155,64.66,3941.938935864957,3977.0,1493.2492217499155,1060.0,2384.0297141150413,2852.34,468.31028588495883,0.16418459436285954,,2622.09174828483,38.18,38.18,36.987680000000005,0.0,0.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.275047258979206,2.275047258979206,1152.5438594455131,177.0
2000643,"UNI-REZ 2248, Bag 50 LB",U2248,INK,4297.799999999999,1708.43734488826,73.93,4297.8,4199.81,1708.43734488826,1442.86,2515.4326551117406,2683.020000000001,167.5873448882603,0.06246220486178271,,2515.4326551117397,36.07,36.07,36.068400000000004,0.0,0.9,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.204097769792949,2.204097769792949,1141.2527563820533,84.0
2001947,"UNI-REZ 2218, Bag 50 LB",U2218B,INK,3898.8971216666705,1606.9601058710753,62.0,4203.5230297698445,3856.0,1606.9601058710753,1373.0,2534.5629238987694,2421.0,-113.56292389876944,0.04690744481568337,,2229.9370157955955,33.57,33.57,36.723960000000005,0.0,0.8,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0147140994598622,2.0147140994598622,1106.8255373769578,352.4
2001948,"UNI-REZ 2218, BB 1102 LB",U2218F,INK,3898.8961111111043,1606.9601058710753,62.0,3775.5981111111137,3764.0,1606.9601058710753,1393.0,2106.638005240038,2309.0,202.36199475996182,0.08764053475961966,,2229.936005240029,33.57,33.57,36.723960000000005,0.0,0.8,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0147140994598622,2.0147140994598622,1106.8250357893792,346.6
2001966,"UNI-REZ 2930, Bag 50 LB",U2930B,INK,3907.6920000000005,1578.8646380216207,63.0,3942.4049999999997,3691.0,1578.8646380216207,1017.0,2300.540361978379,2611.0,310.4596380216208,0.11890449560383791,,2265.8273619783795,34.8,34.8,37.0576,0.0,0.9,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.069729286300246,2.069729286300246,1094.7457607021977,262.3
2000782,"UNI-REZ 2934, Bag 50 LB",U2934,INK,3411.3169739406126,1431.303999787066,61.34,3579.8165182568096,3546.0,1431.303999787066,1154.0,2087.1725184697434,2330.66,243.48748153025645,0.10447147225689567,,1918.6729741535466,29.98,29.98,36.8813148,0.0,0.8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7915825495462003,1.7915825495462003,1070.9375209306083,5.0
2000672,"UNI-REZ 138, BB 1102 LB",U138F,INK,3463.671428245758,1467.2694259214525,56.0,3418.877313076342,3385.0,1467.2694259214525,1456.0,1895.6078871548896,1873.0,-22.607887154889568,0.012070414925194643,,1940.4020023243054,29.89,29.89,35.86802,0.0,0.8,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8366656425417407,1.8366656425417407,1056.4808081448102,361.1
2000661,"UNI-REZ 147, Bag 50 LB",U147,INK,3673.5391400220506,1540.8269018743108,0.0,3673.5391400220506,3673.5391400220506,1540.8269018743108,1540.8269018743108,2132.7122381477398,2132.7122381477398,0.0,0.0,,2132.7122381477398,31.08,37.06845,40.074,0.0,0.9,0.1,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0387000000000004,2.0387000000000004,1046.1138167203312,6.7
2000616,"UNI-REZ 2223, Bag 50 LB",U2223,INK,3423.546666666667,1489.3358471394638,63.0,3283.96,3342.0,1489.3358471394638,1227.0,1731.6241528605362,2052.0,320.37584713946376,0.15612858047732153,,1871.2108195272033,29.64,29.64,36.4728,0.0,0.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791103507271172,1.791103507271172,1044.7251160699686,951.9
